deal_id,company_name,industry,rep_name,lead_source,product_line,deal_stage,deal_value,created_date,close_date,days_in_stage,last_activity_days_ago,probability_pct,competitor_mentioned,num_stakeholders,next_action
DL-1001,Heritage Oncology Partners,Health Network,James Okafor,Inbound,Meridian Enterprise,Closed Won,479000,1/13/2024,3/11/2024,0,57,95,In-House Solution,1,Contract sent
DL-1002,Coastal Healthcare System,Health Network,Aisha Brooks,Referral,Meridian Pro,Closed Lost,40000,1/1/2025,2/14/2025,0,74,1,In-House Solution,6,Follow-up call
DL-1003,Valley Health System,Outpatient Clinic,Priya Nair,Referral,Meridian Enterprise,Closed Won,235000,7/13/2024,9/12/2024,0,59,100,None,3,Executive meeting
DL-1004,Valley Clinic,Hospital System,Andre Bishop,Conference,Meridian Core,Closed Won,26000,10/22/2024,12/19/2024,0,35,98,None,8,Check in
DL-1005,Lakeshore Hospital,Outpatient Clinic,Andre Bishop,Conference,Meridian Enterprise,Closed Won,449000,3/24/2024,6/11/2024,0,70,97,Cerner,4,Demo scheduled
DL-1006,Osprey Care Partners,Ambulatory Surgery Center,Nina Patel,Outbound,Meridian Pro,Demo Scheduled,47000,11/23/2024,1/13/2025,14,5,36,None,3,Send proposal
DL-1007,Heritage Hospital,Health Network,Chris Park,Conference,Meridian Enterprise,Closed Won,387000,7/21/2024,10/5/2024,0,67,100,Cerner,8,Follow-up call
DL-1008,Harbor Regional Health,Specialty Practice,Devon Mills,Conference,Meridian Enterprise,Negotiation,339000,2/9/2025,4/25/2025,45,1,75,In-House Solution,3,Executive meeting
DL-1009,Willow Cardiac Institute,Ambulatory Surgery Center,Devon Mills,Outbound,Meridian Enterprise,Negotiation,234000,8/20/2024,11/19/2024,21,14,75,None,2,Send proposal
DL-1010,Northbay Care Partners,Hospital System,Julia Novak,Conference,Meridian Pro,Closed Won,79000,1/1/2024,2/11/2024,0,86,100,None,8,Executive meeting
DL-1011,Coastal Oncology Partners,Ambulatory Surgery Center,Priya Nair,Referral,Meridian Pro,Closed Won,110000,1/24/2025,2/18/2025,0,85,100,Epic,2,Check in
DL-1012,Ridgeline Oncology Partners,Specialty Practice,Tomas Rivera,Referral,Meridian Enterprise,Closed Won,331000,7/23/2024,8/31/2024,0,34,100,None,2,Contract sent
DL-1013,Cedar Hospital,Hospital System,Marcus Webb,Outbound,Meridian Pro,Closed Won,49000,4/27/2024,6/26/2024,0,72,100,None,8,Send proposal
DL-1014,Riverside Medical Center,Ambulatory Surgery Center,Chris Park,Inbound,Meridian Pro,Closed Won,85000,2/17/2025,3/25/2025,0,85,95,In-House Solution,4,Check in
DL-1015,Briar Health System,Health Network,Rachel Kim,Inbound,Meridian Enterprise,Closed Won,316000,2/13/2025,3/31/2025,0,45,96,Epic,1,Check in
DL-1016,Valley Clinic,Specialty Practice,Priya Nair,Referral,Meridian Pro,Closed Lost,67000,1/20/2025,2/21/2025,0,40,1,None,4,Legal review
DL-1017,Cedar Medical Center,Ambulatory Surgery Center,Sam Elliot,Partner,Meridian Enterprise,Closed Won,349000,12/22/2024,2/12/2025,0,43,95,Cerner,3,Follow-up call
DL-1018,Atlas Regional Health,Urgent Care,Marcus Webb,Outbound,Meridian Core,Closed Won,15000,10/26/2024,12/25/2024,0,41,96,Cerner,2,Demo scheduled
DL-1019,Forge Health Network,Urgent Care,James Okafor,Inbound,Meridian Core,Negotiation,38000,3/31/2025,5/14/2025,12,5,68,In-House Solution,3,Demo scheduled
DL-1020,Cedar Health Network,Outpatient Clinic,Lauren Tate,Conference,Meridian Core,Closed Lost,12000,12/9/2024,1/26/2025,0,66,0,None,3,Send proposal
DL-1021,Mercy Regional Health,Specialty Practice,Connor Walsh,Inbound,Meridian Enterprise,Closed Won,460000,7/8/2024,8/27/2024,0,81,100,Cerner,3,Check in
DL-1022,Cardinal Hospital,Hospital System,Nina Patel,Partner,Meridian Core,Closed Won,39000,9/15/2024,11/7/2024,0,30,100,None,8,Contract sent
DL-1023,Sequoia Health Alliance,Hospital System,Sam Elliot,Outbound,Meridian Enterprise,Closed Won,176000,10/14/2024,1/14/2025,0,53,100,Cerner,3,Follow-up call
DL-1024,Tidewater Care Partners,Outpatient Clinic,Tomas Rivera,Inbound,Meridian Core,Closed Won,27000,7/5/2024,8/18/2024,0,79,100,Epic,2,Send proposal
DL-1025,Evergreen Health Network,Health Network,Devon Mills,Inbound,Meridian Enterprise,Qualified,310000,2/13/2025,4/20/2025,10,37,26,Epic,4,Executive meeting
DL-1026,Willow Health Alliance,Health Network,Fatima Hassan,Partner,Meridian Enterprise,Closed Won,198000,6/28/2024,8/27/2024,0,85,96,None,6,Follow-up call
DL-1027,Valley Cardiac Institute,Outpatient Clinic,James Okafor,Inbound,Meridian Core,Demo Scheduled,18000,3/25/2025,5/6/2025,15,10,43,None,2,Legal review
DL-1028,Forge Regional Health,Urgent Care,Marcus Webb,Outbound,Meridian Enterprise,Qualified,451000,12/28/2024,4/5/2025,13,11,30,Cerner,1,Check in
DL-1029,Valley Regional Health,Specialty Practice,Tomas Rivera,Outbound,Meridian Pro,Closed Won,91000,9/16/2024,11/21/2024,0,38,98,Epic,2,Contract sent
DL-1030,Forge Surgical Center,Hospital System,Tomas Rivera,Outbound,Meridian Pro,Closed Lost,76000,7/26/2024,9/14/2024,0,67,4,In-House Solution,8,Demo scheduled
DL-1031,Northbay Health Services,Ambulatory Surgery Center,Aisha Brooks,Referral,Meridian Core,Closed Won,17000,9/18/2024,10/17/2024,0,70,100,None,2,Check in
DL-1032,Valley Surgical Center,Hospital System,Tomas Rivera,Outbound,Meridian Core,Prospecting,27000,4/25/2024,6/23/2024,16,11,19,None,7,Send proposal
DL-1033,Briar Health Network,Specialty Practice,Lauren Tate,Inbound,Meridian Core,Closed Lost,23000,12/1/2024,1/18/2025,0,63,2,None,1,Demo scheduled
DL-1034,Briar Surgical Center,Urgent Care,Lauren Tate,Conference,Meridian Enterprise,Negotiation,262000,2/14/2025,5/8/2025,44,12,73,Epic,2,Check in
DL-1035,Lakeshore Clinic,Health Network,Chris Park,Inbound,Meridian Enterprise,Closed Won,366000,8/18/2024,10/13/2024,0,47,100,None,6,Legal review
DL-1036,Highland Health Alliance,Hospital System,Connor Walsh,Outbound,Meridian Pro,Closed Lost,92000,7/15/2024,9/7/2024,0,56,0,None,1,Executive meeting
DL-1037,Heritage Surgical Center,Outpatient Clinic,Megan Torres,Referral,Meridian Pro,Closed Won,89000,9/1/2024,10/17/2024,0,77,100,Cerner,2,Legal review
DL-1038,Tidewater Oncology Partners,Outpatient Clinic,Sam Elliot,Outbound,Meridian Enterprise,Closed Lost,447000,9/5/2024,12/14/2024,0,40,2,None,1,Demo scheduled
DL-1039,Pinnacle Healthcare System,Specialty Practice,Sarah Chen,Inbound,Meridian Core,Closed Won,15000,2/12/2024,3/14/2024,0,43,100,None,4,Legal review
DL-1040,Cascade Healthcare System,Hospital System,Sam Elliot,Conference,Meridian Enterprise,Demo Scheduled,376000,5/9/2024,7/8/2024,9,11,36,In-House Solution,1,Send proposal
DL-1041,Harbor Healthcare System,Ambulatory Surgery Center,Lauren Tate,Conference,Meridian Core,Demo Scheduled,25000,5/2/2024,6/19/2024,7,10,44,In-House Solution,2,Legal review
